09 Feb 02:21:46 ::  Train Loss Value: 0.3559782678726658
09 Feb 02:24:48 ::  Train Loss Value: 0.35514315649183636
09 Feb 02:27:57 ::  Train Loss Value: 0.3546750305489067
09 Feb 02:31:01 ::  Train Loss Value: 0.3566810523092998
09 Feb 02:33:56 ::  Train Loss Value: 0.35588160836897553
09 Feb 02:36:58 ::  Train Loss Value: 0.35591842923630657
09 Feb 02:40:05 ::  Train Loss Value: 0.35522910031533794
09 Feb 02:43:18 ::  Train Loss Value: 0.35408968554578
09 Feb 02:46:30 ::  Train Loss Value: 0.35269386933944813
09 Feb 02:49:40 ::  Train Loss Value: 0.35189143536595124
09 Feb 02:53:01 ::  Train Loss Value: 0.3551067282646894
09 Feb 02:56:11 ::  Train Loss Value: 0.3555272210037403
09 Feb 02:59:26 ::  Train Loss Value: 0.35322488438813987
09 Feb 03:02:53 ::  Train Loss Value: 0.35534192029525274
09 Feb 03:06:20 ::  Train Loss Value: 0.35500029658082854
09 Feb 03:09:22 ::  Train Loss Value: 0.35537499749104934
09 Feb 03:12:44 ::  Train Loss Value: 0.3559924102149247
09 Feb 03:16:06 ::  Train Loss Value: 0.3560850141453734
09 Feb 03:19:29 ::  Train Loss Value: 0.35439091114926147
09 Feb 03:22:55 ::  Train Loss Value: 0.35270917219852516
09 Feb 03:26:20 ::  Train Loss Value: 0.3504231744133569
09 Feb 03:29:51 ::  Train Loss Value: 0.36192430613705107
09 Feb 03:33:25 ::  Train Loss Value: 0.35050122116414095
09 Feb 03:36:55 ::  Train Loss Value: 0.3504443808227614
09 Feb 03:40:28 ::  Train Loss Value: 0.3493007246831714
09 Feb 03:44:01 ::  Train Loss Value: 0.34765808506565943
09 Feb 03:47:37 ::  Train Loss Value: 0.34619003763117256
09 Feb 03:51:15 ::  Train Loss Value: 0.34526317615681557
09 Feb 03:54:43 ::  Train Loss Value: 0.3433650868415222
09 Feb 03:58:21 ::  Train Loss Value: 0.34189796951863693
09 Feb 04:02:06 ::  Train Loss Value: 0.3420819719274957
09 Feb 04:05:49 ::  Train Loss Value: 0.3405069126173534
09 Feb 04:09:31 ::  Train Loss Value: 0.3401205052428732
09 Feb 04:13:19 ::  Train Loss Value: 0.3400902696202199
09 Feb 04:17:00 ::  Train Loss Value: 0.3373226094010296
09 Feb 04:20:39 ::  Train Loss Value: 0.33844325481246057
09 Feb 04:24:35 ::  Train Loss Value: 0.33834003200220286
09 Feb 04:28:26 ::  Train Loss Value: 0.3363135232105379
09 Feb 04:32:07 ::  Train Loss Value: 0.3358608180881682
09 Feb 04:35:52 ::  Train Loss Value: 0.33431081664631923
09 Feb 04:39:49 ::  Train Loss Value: 0.3347829747682898
09 Feb 04:43:50 ::  Train Loss Value: 0.33318709183021383
09 Feb 04:47:51 ::  Train Loss Value: 0.3357480200211708
09 Feb 04:52:02 ::  Train Loss Value: 0.33597559901208823
09 Feb 04:56:02 ::  Train Loss Value: 0.3354543971163034
09 Feb 05:00:14 ::  Train Loss Value: 0.3342957084327936
09 Feb 05:04:19 ::  Train Loss Value: 0.3347107495713234
09 Feb 05:08:18 ::  Train Loss Value: 0.33334759622991084
09 Feb 05:12:23 ::  Train Loss Value: 0.3351618963217735
09 Feb 05:16:26 ::  Train Loss Value: 0.3335987439239025
09 Feb 05:20:26 ::  Train Loss Value: 0.338888201597929
09 Feb 05:24:27 ::  Train Loss Value: 0.3375916331684589
09 Feb 05:28:24 ::  Train Loss Value: 0.3385306621038914
09 Feb 05:32:32 ::  Train Loss Value: 0.3408715975469351
09 Feb 05:36:37 ::  Train Loss Value: 0.33966867480516433
09 Feb 05:40:41 ::  Train Loss Value: 0.3405706203210354
09 Feb 05:44:41 ::  Train Loss Value: 0.3447064518868923
09 Feb 05:48:43 ::  Train Loss Value: 0.3438841063272953
09 Feb 05:52:49 ::  Train Loss Value: 0.3444916496169567
09 Feb 05:56:50 ::  Train Loss Value: 0.3466662676590681
09 Feb 06:00:47 ::  Train Loss Value: 0.34539883669406174
09 Feb 06:04:53 ::  Train Loss Value: 0.3465817439633608
09 Feb 06:09:07 ::  Train Loss Value: 0.34689494779407976
09 Feb 06:13:08 ::  Train Loss Value: 0.34810646745085716
09 Feb 06:17:08 ::  Train Loss Value: 0.34824984471857545
09 Feb 06:21:17 ::  Train Loss Value: 0.34727949680924414
09 Feb 06:25:20 ::  Train Loss Value: 0.34814052215516567
09 Feb 06:29:20 ::  Train Loss Value: 0.3492149417102337
09 Feb 06:33:25 ::  Train Loss Value: 0.34731549071729184
09 Feb 06:37:27 ::  Train Loss Value: 0.34802397765874865
09 Feb 06:41:27 ::  Train Loss Value: 0.3486623509413004
09 Feb 06:45:26 ::  Train Loss Value: 0.34906529838085176
09 Feb 06:49:26 ::  Train Loss Value: 0.34930897718548776
09 Feb 06:53:33 ::  Train Loss Value: 0.3470059453868866
09 Feb 06:57:33 ::  Train Loss Value: 0.3460628876411915
09 Feb 07:01:39 ::  Train Loss Value: 0.3466738512575626
09 Feb 07:05:38 ::  Train Loss Value: 0.3451930650228262
09 Feb 07:09:35 ::  Train Loss Value: 0.3444262219041586
09 Feb 07:13:39 ::  Train Loss Value: 0.34456613821566107
09 Feb 07:17:45 ::  Train Loss Value: 0.34386732420265675
09 Feb 07:21:49 ::  Train Loss Value: 0.34628715850591657
09 Feb 07:25:52 ::  Train Loss Value: 0.34595499184072015
09 Feb 07:29:55 ::  Train Loss Value: 0.348593232832551
09 Feb 07:33:52 ::  Train Loss Value: 0.34639356213212014
09 Feb 07:37:45 ::  Train Loss Value: 0.3462656017667055
09 Feb 07:41:47 ::  Train Loss Value: 0.3474822072005272
09 Feb 07:45:49 ::  Train Loss Value: 0.34443455062031747
09 Feb 07:49:51 ::  Train Loss Value: 0.343961226939559
09 Feb 07:53:51 ::  Train Loss Value: 0.34090035807639363
09 Feb 07:57:53 ::  Train Loss Value: 0.3416797077524662
09 Feb 08:01:55 ::  Train Loss Value: 0.34202015026271343
09 Feb 08:05:56 ::  Train Loss Value: 0.34147164710223676
09 Feb 08:09:57 ::  Train Loss Value: 0.340889048011899
09 Feb 08:14:03 ::  Train Loss Value: 0.34230023901939394
09 Feb 08:17:58 ::  Train Loss Value: 0.34118875153005124
09 Feb 08:21:58 ::  Train Loss Value: 0.34000114525794983
09 Feb 08:25:53 ::  Train Loss Value: 0.34173690413951874
09 Feb 08:29:56 ::  Train Loss Value: 0.34145961181104184
09 Feb 08:34:00 ::  Train Loss Value: 0.3413149136263132
09 Feb 08:38:08 ::  Train Loss Value: 0.34028481084525586
09 Feb 08:42:06 ::  Train Loss Value: 0.3394536091309786
09 Feb 08:46:07 ::  Train Loss Value: 0.3378750430995226
09 Feb 08:50:11 ::  Train Loss Value: 0.33715860538244247
09 Feb 08:54:12 ::  Train Loss Value: 0.3376167746913433
09 Feb 08:58:12 ::  Train Loss Value: 0.3366104554724693
09 Feb 09:02:15 ::  Train Loss Value: 0.3342682100111246
09 Feb 09:06:15 ::  Train Loss Value: 0.33109453721463683
09 Feb 09:10:10 ::  Train Loss Value: 0.33033647510826586
09 Feb 09:14:16 ::  Train Loss Value: 0.33035364505827425
09 Feb 09:18:09 ::  Train Loss Value: 0.3316226821643114
09 Feb 09:22:06 ::  Train Loss Value: 0.3327254491978884
09 Feb 09:26:01 ::  Train Loss Value: 0.3315395339244604
09 Feb 09:30:02 ::  Train Loss Value: 0.3325202912479639
09 Feb 09:34:10 ::  Train Loss Value: 0.33437979534804824
09 Feb 09:38:11 ::  Train Loss Value: 0.3319089665597677
09 Feb 09:42:15 ::  Train Loss Value: 0.33252797452509403
09 Feb 09:46:15 ::  Train Loss Value: 0.3319322200459242
09 Feb 09:50:20 ::  Train Loss Value: 0.3307420625084639
09 Feb 09:54:22 ::  Train Loss Value: 0.3303893504935503
09 Feb 09:58:23 ::  Train Loss Value: 0.33054863444030286
09 Feb 10:02:26 ::  Train Loss Value: 0.332904668405056
09 Feb 10:06:28 ::  Train Loss Value: 0.3350961670744419
09 Feb 10:10:26 ::  Train Loss Value: 0.3339426926845312
09 Feb 10:14:26 ::  Train Loss Value: 0.3354050832986832
09 Feb 10:18:27 ::  Train Loss Value: 0.33320107381045816
09 Feb 10:22:33 ::  Train Loss Value: 0.3361453956860304
09 Feb 10:26:33 ::  Train Loss Value: 0.33649992027938364
09 Feb 10:30:31 ::  Train Loss Value: 0.3377274534219503
09 Feb 10:34:32 ::  Train Loss Value: 0.3387757136544585
09 Feb 10:38:31 ::  Train Loss Value: 0.33876982201695444
09 Feb 10:42:39 ::  Train Loss Value: 0.3389735194933414
09 Feb 10:46:39 ::  Train Loss Value: 0.3403455081748962
09 Feb 10:50:47 ::  Train Loss Value: 0.34266254863739015
09 Feb 10:55:03 ::  Train Loss Value: 0.3402964984601736
09 Feb 10:59:07 ::  Train Loss Value: 0.34067965600550176
09 Feb 11:03:14 ::  Train Loss Value: 0.34120591219186786
09 Feb 11:07:19 ::  Train Loss Value: 0.3362773854261637
09 Feb 11:11:18 ::  Train Loss Value: 0.33767118822932246
09 Feb 11:15:20 ::  Train Loss Value: 0.3362973040282726
09 Feb 11:19:17 ::  Train Loss Value: 0.3358530407762527
09 Feb 11:23:22 ::  Train Loss Value: 0.33307748660981656
